"","kg_km2","X","Y","X.utm","Y.utm","month","year","depth","CHL","TMP_sst","TMP_bot","dox.bot","nit","pho","sal","poc"
"6698",10.4818049815949,15.1603333333333,42.8138333333333,513.105174126579,4740.15039951733,8,2018,179.5,0.0710204188459952,27.468807220459,12.0693664550781,224.569946289062,0.626168037555812,0.0883208830744822,38.7490296328522,4.23612308502197
"6726",8.7917022528164,16.40625,41.39775,617.551181515635,4583.87218108352,7,2018,36,0.112589364312102,26.2010822296143,20.6896152496338,258.412170410156,1.08289197742633,0.015173775361271,37.0417838593141,17.8955001831055
"6741",11.8416258267847,17.3215,39.01,701.005995981243,4320.4503223799,8,2018,628.5,0.0603514289811451,27.8650150299072,13.7468814849854,201.753341674805,2.14217686161869,0.115804386314481,38.8255277899896,0.0147716253995895
"6744",9.38870479407043,17.3095,40.237,696.463901642859,4456.62088388822,8,2018,572,0.0548706050140057,27.6289253234863,14.035758972168,206.138259887695,1.80732069458316,0.110146919376716,38.8320771262224,0.0162450969219208
"6765",11.3190519965684,15.1065,42.3849166666667,508.766725210585,4692.5181617626,8,2018,135.5,0.0900633527509408,27.7141609191895,13.8141117095947,218.808670043945,0.586517885592932,0.0910326259774259,38.6709651286155,7.65953683853149
"6780",10.653075752512,17.3178333333333,41.1135,694.603037389676,4553.94575651786,7,2018,121.5,0.13644412465053,25.6034870147705,14.1474199295044,216.613143920898,0.48046343619637,0.0687681236222433,38.5726301045503,10.9238119125366
"6823",11.4995153943442,16.7565833333333,41.19275,647.304527186351,4561.64745009842,7,2018,42,0.22574533688693,25.930513381958,15.194281578064,224.548583984375,0.576348713003422,0.0217469246350631,37.674174237068,30.775203704834
"6899",9.15663213645336,14.01875,43.7098333333333,420.950563680256,4840.10953081587,8,2018,74.5,0.198709860501032,27.6288928985596,14.3870067596436,220.977233886719,0.350917465213211,0.0612285503476731,38.5794499561968,16.4058589935303
"6911",10.0503944363636,15.5914166666667,42.0334166666667,548.952811988032,4653.65376277843,8,2018,59.5,0.219086186497653,27.8989944458008,14.6737184524536,215.627227783203,0.424657914112093,0.0487555533888245,38.2506254824124,20.8790798187256
"6966",12.786578657508,16.7913333333333,40.1471666666667,652.580241213116,4445.63328873306,8,2018,59.5,0.0673991044113271,27.8198108673096,14.4084548950195,210.708358764648,0.957736778528897,0.0821874634997837,38.7800681971925,1.28676974773407
